Medicine_Name,Active_Substance
Vylaer Spiromax,Budesonide;formoterol fumarate dihydrate
Biograstim,filgrastim
ChondroCelect,characterised viable autologous cartilage cells expanded ex vivo expressing specific marker proteins
Capecitabine SUN,capecitabine
Zemfirza,cediranib maleate
Pemetrexed ditromethamine Hospira,pemetrexed ditromethamine
Celvapan,"whole virion influenza vaccine, inactivated containing antigen of strain A/California/07/2009 (H1N1)v"
Kepnetic,
Ertapenem Hospira,ertapenem sodium
Pantecta Control,pantoprazole
Cokiera,
Arikayce,amikacin sulfate
Incivo,telaprevir
Opsiria,sirolimus
Docetaxel SUN,
Kyndrisa,
Zoledronic acid Teva Generics,zoledronic acid monohydrate
Osigraft,eptotermin alfa
Dropcys,mercaptamine
Krystexxa,pegloticase
Begedina,begelomab
Opgenra,eptotermin alfa
Xegafri,
Pandemrix,"split influenza virus inactivated, containing antigen equivalent to A/California/07/2009 (H1N1)-derived strain used NYMC X-179A"
Avandamet,rosiglitazone;metformin hydrochloride
Avandia,rosiglitazone
RevitaCAM,meloxicam
Lodipressin,amlodipine besilate
Repso,leflunomide
Kepivance,palifermin
Heparesc,human heterologous liver cells
Aripiprazole Mylan,aripiprazole
Nuedexta,dextromethorphan;quinidine
Paglitaz,pioglitazone hydrochloride
"Prepandemic influenza vaccine (H5N1) (surface antigen, inactivated, adjuvanted) Novartis Vaccines and Diagnostics",influenza virus surface antigens (haemagglutinin and neuraminidase) of strain A/Viet Nam/1194/2004 (H5N1)
Solumarv,Insulin human
Focetria,Influenza virus surface antigens (haemagglutinin and neuraminidase) of strain: A/California/7/2009 (H1N1)-derived strain used NYMC X-181
Nivolumab BMS,nivolumab
Dicural,difloxacin
Veraseal,human fibrinogen;human thrombin
Sonata,zaleplon
Oxapex,
Aripiprazole Mylan,aripiprazole
Lympreva,dasiprotimut-t
ProMeris,metaflumizone
ProMeris Duo,metaflumizone;amitraz
Rienso,Ferumoxytol
Clopidogrel DURA,clopidogrel (as hydrochloride)
Corluxin,mifepristone
Ketoconazole AID-SCFM,Ketoconazole
Provenge,autologous peripheral-blood mononuclear cells including a minimum of 50 million autologous CD54+ cells activated with prostatic acid phosphatase granulocyte-macrophage colony-stimulating factor
Duloxetine Sandoz,duloxetine
BindRen,colestilan
Pumarix,"pandemic influenza vaccine (H5N1) (split virion, inactivated, adjuvanted)"
Docetaxel Mylan,docetaxel
Slentrol,dirlotapide
Oncept Melanoma,
Egranli,
Imagify,perflubutane
TruScient,dibotermin alfa
Clopidogrel Teva Pharma B.V.,clopidogrel (as hydrobromide)
Purevax RCCh,attenuated feline rhinotracheitis herpesvirus (FHV F2 strain);inactivated feline calicivirosis antigens (FCV 431 and G1 strains);attenuated Chlamydophila felis (905 strain)
Vistide,cidofovir
Masiviera,masitinib
Ipreziv,azilsartan medoxomil
Fluenz,"reassortant influenza virus (live attenuated) of the following strains:A/California/7/2009 (H1N1)pdm09 like strain, A/Victoria/361/2011 (H3N2) like strain, B/Massachusetts/2/2012 like strain"
Neofordex,dexamethasone
Topotecan Eagle,topotecan hydrochloride
Enthryv,
Doribax,doripenem
Pioglitazone Krka,pioglitazone hydrochloride
Rivastigmine 3M Health Care Ltd,rivastigmine
Faldaprevir Boehringer Ingelheim,faldaprevir
Clopidogrel Qualimed,clopidogrel (as hydrochloride)
Reasanz,serelaxin
Nerventra,laquinimod
Ioa,nomegestrol acetate;estradiol
Neocepri,folic acid
Vynfinit,
Folcepri,Etarfolatide
Revasc,desirudin
Olanzapine Cipla (previously Olanzapine Neopharma),olanzapine
Issarlos,strontium ranelate;colecalciferol
Ditelos,strontium ranelate;colecalciferol
Preotact,parathyroid hormone (rDNA)
Meloxivet,meloxicam
Netvax,Clostridium-perfringens-type-A alpha toxoid
Viracept,nelfinavir
Heplisav,
Flexicam,meloxicam
Clopidogrel Teva Generics B.V.,clopidogrel (as hydrochloride)
Onduarp,telmisartan
Leflunomide Teva,leflunomide
Winfuran,
Docetaxel Teva Pharma,docetaxel
Tritanrix HepB,Diphtheria toxoid;hepatitis B surface antigen;Bordetella pertussis (inactivated);tetanus toxoid
Clopidogrel ratiopharm,clopidogrel
Masican,masitinib
Rasitrio,aliskiren;amlodipine;hydrochlorothiazide
IXinity,trenonacog alfa;trenonacog alfa
Infanrix Penta,"Diphtheria toxoid;tetanus toxoid;Bordetella pertussis antigens (pertussis toxoid, filamentous haemagglutinin, pertactin);poliovirus (inactivated) (type 1 (Mahoney strain), type 2 (MEF-1 strain), type 3 (Saukett strain));hepatitis B surface antigen"
Belviq,
Raxone,idebenone
OraNera,
Sepioglin,pioglitazone hydrochloride
Ibaflin,ibafloxacin
Daronrix,"whole virion, inactivated, containing antigen*: A/Vietnam/1194/2004 (H5N1)* produced in eggs"
Omontys,peginesatide
Kynamro,mipomersen sodium
Qsiva,phentermine;topiramate
Nobivac Piro,"babesia canis, inactivated;babesia rossi, inactivated"
Fanaptum,iloperidone
Trevaclyn,laropiprant;nicotinic acid
Pelzont,laropiprant;nicotinic acid
Tredaptive,laropiprant;nicotinic acid
Hyalograft C autograft,
Bondenza (previously Ibandronic Acid Roche),ibandronic acid
Ribavirin BioPartners,ribavirin
Possia,ticagrelor
Ruvise,imatinib
Memantine FGK,memantine
Labazenit,Budesonide;salmeterol
Istodax,romidepsin
Acrescent,memantine hydrochloride;donepezil hydrochloride
Balaxur,memantine hydrochloride;donepezil hydrochloride
Riprazo,aliskiren
Jenzyl,
Loulla,
Duloxetine Boehringer Ingelheim,duloxetine
Solumarv,Insulin human
Isomarv medium,Insulin human
Combimarv,Insulin human
Elelyso,taliglucerase alfa
Rilonacept Regeneron (previously Arcalyst),rilonacept
Imprida HCT,amlodipine;valsartan;hydrochlorothiazide
Zerene,zaleplon
Rivastigmine Teva,rivastigmine
SecreFlo,
Riprazo HCT,aliskiren;hydrochlorothiazide
Sprimeo HCT,aliskiren;hydrochlorothiazide
Exalief,eslicarbazepine acetate
Hexavac,purified diphtheria toxoid;purified tetanus toxoid;purified pertussis toxoid;purified pertussis filamentous haemagglutinin;hepatitis B surface antigen;Inactivated Type 1 Poliovirus (Mahoney);Inactivated Type 3 Poliovirus (Saukett);Haemophilus influenzae type b polysaccharide
Regranex,becaplermin
MabCampath,alemtuzumab
Gonazon,azagly-nafarelin
Valtropin,somatropin
Teslascan,mangafodipir trisodium
Refludan,lepirudin
Clopidogrel Acino Pharma GmbH,clopidogrel
Clopidogrel Acino Pharma,clopidogrel
Clopidogrel Hexal,clopidogrel
Sprimeo,aliskiren
Mulsevo,semuloparin sodium
Egrifta,tesamorelin
Folotyn,pralatrexate
Pioglitazone Teva Generics,pioglitazone hydrochloride
Oxapex,
Fablyn,Lasofoxifene tartrate
Intrinsa,testosterone
Docefrez,docetaxel
Zubrin,tepoxalin
Poulvac Flufend H5N3 RG,recombinant inactivated avian influenza virus
PhotoBarr,porfimer sodium
Pioglitazone ratiopharm GmbH,pioglitazone
Pioglitazone ratiopharm,pioglitazone
Pioglitazone ratio,pioglitazone
Paccal Vet,paclitaxel
Fluad Paediatric,
Livensa,testosterone
"Prepandemic Influenza Vaccine (H5N1) (Split Virion, Inactivated, Adjuvanted) GlaxoSmithKline Biologicals","split influenza virus, inactivated, containing antigen: A/VietNam/1194/2004 (H5N1) like strain used (NIBRG-14)"
Megestrol Alkermes,
Xigris,drotrecogin alfa (activated)
Sumatriptan Galpharm,sumatriptan succinate
Kalbitor,
Janacti,
Desloratadine Krka,desloratadine
Ablavar (previously Vasovist),gadofosveset trisodium
Clopidogrel Sandoz,clopidogrel
Arepanrix,"split influenza virus, inactivated, containing antigen*: A/California/7/2009 (H1N1)v like strain (X-179A)*propagated in eggs."
Luveniq,voclosporin
Alisade,fluticasone furoate
Doxorubicin SUN,doxorubicin hydrochloride
Yarvitan,mitratapide
Ibandronic Acid Hexal,ibandronic acid
Avaglim,rosiglitazone;glimepiride
Filgrastim ratiopharm,filgrastim
Humenza,"split influenza virus, inactivated, containing antigen*: A/California/7/2009 (H1N1)v like strain (X-179A)*propagated in eggs."
Agenerase,amprenavir
Beprana,naproxcinod
Joicela,
Enviage,aliskiren
Epostim,epoetin alfa
Onsenal,celecoxib
Thelin,sitaxentan sodium
Clopidogrel 1A Pharma,clopidogrel
Topotecan SUN,topotecan
Movectro,cladribine
Cerepro,
Tekinex,omacetaxine mepesuccinate
Ozespa,briakinumab
Ionsys,fentanyl hydrochloride
ImmunoGam,human hepatitis B immunoglobulin
Zenhale,Formoterol (fumarate);mometasone furoate
Emerflu,
Rasival,
NeoSpect,depreotide trifluoroacetate
Gallimune Flu H5N9 (i),
Zeftera (previously Zevtera),ceftobiprole medocaril
Medicinal Oxygen Air Liquide Sante,oxygen
Nobilis Influenza H5N6,"inactivated whole avian influenza virus antigen of H5 subtype (strain H5N6, A/duck/Potsdam/2243/84)"
Nobilis Influenza H7N1,"inactivated whole avian influenza virus antigen of H7N1 subtype (strain, A/CK/Italy/473/99)"
Pruban,resocortol butyrate
Brilence,bazedoxifene
Sliwens,
Tyvaso,treprostinil sodium
Repaglinide Sun,repaglinide
Joulferon,
Impulsor,milnacipran
Milnacipran Pierre Fabre Medicament,milnacipran
Ibuprofen/Diphenhydramine Hydrochloride Wyeth,Ibuprofen
Docetaxel Mylan,docetaxel
Pulsaflox,difloxacin
Ratioepo,epoetin theta
Paxene,paclitaxel
Bextra,valdecoxib
Clopidogrel BMS,clopidogrel (as hydrogen sulfate)
Comfyde,carisbamate
Turvel,trovafloxacin
Turvel IV,alatrofloxacin mesilate
Sovrima,idebenone
Trovan IV,alatrofloxacin mesilate
Allex,desloratadine
Evotopin,topotecan
Trovan,trovafloxacin
Indimacis 125,igovomab
Rotashield,"rotavirus serotype 1 reassortant, rotavirus serotype 2 reassortant, rotavirus serotype 3 rhesus, rotavirus serotype 4 reassortant"
Destara,ibandronic acid
Zelnorm,tegaserod
Tikosyn,dofetilide
Tecnemab K1,anti-melanoma mab fragments
Rhucin,recombinant human C1-inhibitor
Genasense,oblimersen
Oncophage,
Advexin,
Recothrom,thrombin alfa
Ethyl Eicosapent soft gelatin capsules,
Nenad,lisuride
Irbesartan BMS,irbesartan
Irbesartan Hydrochlorothiazide BMS,irbesartan;hydrochlorothiazide
Gemesis,becaplermin
Zactima,vandetanib
Mersarex,
Zunrisa,casopitant
Tekturna,aliskiren
Opaxio,
Ramvocid,
Trazec,nateglinide
Posaconazole SP,posaconazole
Raptiva,efalizumab
Bosatria,Mepolizumab
Procomvax,polyribosylribitol phosphate from Haemophilus influenzae type b as PRP-OMPC;outer membrane protein complex of Neisseria meningitidis (outer membrane protein complex of the B11 strain of Neisseria meningitidis subgroup B);adsorbed hepatitis B surface antigen produced in recombinant yeast cells (Saccharomyces cerevisiae)
Contusugene Ladenovec Gendux,
Factive,
Biferonex,interferon beta-1a
Lunivia,eszopiclone
Parareg,cinacalcet
Clopidogrel Teva Pharma,clopidogrel
Dynepo,epoetin delta
Kexxtone,
Velosulin,Insulin human
Ixempra,
Cylatron,peginterferon alfa-2b
Vorinostat MSD,vorinostat
Zenapax,daclizumab
Zimulti,rimonabant
Acomplia,rimonabant
Nespo,darbepoetin alfa
Neupopeg,pegfilgrastim
Theraloc,nimotuzumab
Forcaltonin,recombinant salmon calcitonin
Viraferon,interferon alfa-2b
Vekacia,ciclosporin
Exubera,Insulin human
Protopy,tacrolimus
Vibativ,telavancin
Ellefore,
Lacosamide Pain UCB Pharma,lacosamide
Ramelteon,
Exulett,
Quintanrix,Diphtheria toxoid;tetanus toxoid;inactivated Bordetella pertussis;hepatitis B surface antigen (rDNA);Haemophilus influenzae type b polysaccharide
Orplatna,satraplatin
Diractin,ketoprofen
Spanidin,gusperimus trihydrochloride
Aflunov,A/VietNam/1194/2004
Lenalidomide Celgene Europe,lenalidomide
Aquilda,satavaptan
DuoPlavin,clopidogrel;acetylsalicylic acid
DuoCover,clopidogrel;acetylsalicylic acid
orBec,beclomethasone dipropionate
Quixidar,fondaparinux sodium
Cimzia,certolizumab pegol
Kiacta,eprodisate disodium
Advasure,E2 glycoprotein of classical swine fever virus
Pristiqs,desvenlafaxine
Levviax,telithromycin
Monotard,Insulin human
Trudexa,adalimumab
Ultratard,Insulin human
Natalizumab Elan Pharma,natalizumab
Mylotarg,gemtuzumab ozogamicin
Insulin Human Rapid Marvel,human insulin
Insulin Human Long Marvel,human insulin
Insulin Human 30/70 Mix Marvel,human insulin
Sinerem,iron oxide
Gastromotal,1-13C-caprylic acid
Garenoxacin mesylate,garenoxacin mesylate
Retisert,Fluocinolone acetonide
Cerepro,adenovirus-mediated Herpes simplex virus-thymidine kinase gene
Voraxaze,glucarpidase
Vitragan,hyaluronidase
Iplex,mecasermin rinfabate
Mycograb,recombinant human monoclonal antibody to hsp
Arxxant,
Veraflox,pradofloxacin
Synordia,fenofibrate;metformin
Riquent,abetimus
Multaq,dronedarone
Fortovase,saquinavir
Thymanax,agomelatine
Valdoxan,agomelatine
Alpheon,recombinant human interferon alfa-2a
Surfaxin,sinapultide;Dipalmitoylphosphatidylcholine;palmitoyl-oleoyl phosphatidylglycerol;palmitic acid
Infergen,interferon alfacon-1
Uprima,apomorphine hydrochloride
Daquiran,pramipexole dihydrochloride monohydrate
Scintimun,besilesomab
Retaane,anecortave acetate
Theryttrex,yttrium (90Y) chloride
Ximelagatran 36 mg film coated tablets,ximelagatran
Orathecin,rubitecan
Tenecteplase Boehringer Ingelheim Pharma GmbH Co. KG,tenecteplase
CEA-Scan,arcitumomab
Rayzon,parecoxib
Patrex,sildenafil
Valdyn (previously Kudeq),valdecoxib
Infanrix HepB,Diphtheria toxoid;tetanus toxoid;pertussis toxoid;pertussis haemagglutin filamentous;pertactin;hepatitis B recombinant surface antigen
Venvia,rosiglitazone
Nyracta,rosiglitazone
Taluvian,apomorphine hydrochloride
Ixense,apomorphine hydrochloride
Doxirobe,doxycycline
Xapit,parecoxib
Valdyn,valdecoxib
Eurifel RCP FeLV,"canarypox virus expressing feline leukemia virus, live;feline calicivirus, strain 255, inactivated;feline panleucopenia virus, strain PLI IV, live;feline rhinotracheitis virus, strain C27, antigen"
Opulis,desloratadine
Cotronak,ribavirin
HumaSPECT,votumumab
Yondelis,trabectedin
Olansek,olanzapine
Hepacare,"hepatitis B surface antigens recombinant (S, pre-S1, pre-S2) adsorbed on aluminium hydroxide [produced on genetically engineered murine (C127I) cells]"
Vitravene,fomivirsen
Zartra,imiquimod
Triacelluvax,Diphtheria toxoid;haemagglutinin filamentous;pertussis pertactin;pertussis toxin;tetanus toxoid
Orlaam,levacetylmethadol
Vitrasert Implant,ganciclovir
Liprolog,insulin lispro
EchoGen,dodecafluoropentane
Ecokinase,reteplase
Primavax,"Diphtheria toxoid;hepatitis B, recombinant surface antigen;tetanus toxoid"
Pylori-Chek,urea (13C)
